Date,Lunar_Longitude
1950-163,174.94
1950-164,187.13
1950-165,199.32
1950-166,211.51
1950-167,223.7
1950-168,235.9
1950-169,248.09
1950-170,260.28
1950-171,272.47
1950-172,284.66
1950-173,296.85
1950-174,309.04
1950-175,321.23
1950-176,333.42
1950-177,345.61
1950-178,357.81
1950-179,10.0
1950-180,22.19
1950-181,34.38
1950-182,46.57
1950-183,58.76
1950-184,70.95
1950-185,83.14
1950-186,95.33
1950-187,107.52
1950-188,119.72
1950-189,131.91
1950-190,144.1
1950-191,156.29
1950-192,168.48
1950-193,180.67
1950-194,192.86
1950-195,205.05
1950-196,217.24
1950-197,229.43
1950-198,241.63
1950-199,253.82
1950-200,266.01
1950-201,278.2
1950-202,290.39
1950-203,302.58
1950-204,314.77
1950-205,326.96
1950-206,339.15
1950-207,351.34
1950-208,3.54
1950-209,15.73
1950-210,27.92
1950-211,40.11
1950-212,52.3
1950-213,64.49
1950-214,76.68
1950-215,88.87
1950-216,101.06
1950-217,113.25
1950-218,125.45
1950-219,137.64
1950-220,149.83
1950-221,162.02
1950-222,174.21
1950-223,186.4
1950-224,198.59
1950-225,210.78
1950-226,222.97
1950-227,235.16
1950-228,247.36
1950-229,259.55
1950-230,271.74
1950-231,283.93
1950-232,296.12
1950-233,308.31
1950-234,320.5
1950-235,332.69
1950-236,344.88
1950-237,357.07
1950-238,9.27
1950-239,21.46
1950-240,33.65
1950-241,45.84
1950-242,58.03
1950-243,70.22
1950-244,82.41
1950-245,94.6
1950-246,106.79
1950-247,118.98
1950-248,131.18
1950-249,143.37
1950-250,155.56
1950-251,167.75
1950-252,179.94
1950-253,192.13
1950-254,204.32
1950-255,216.51
1950-256,228.7
1950-257,240.89
1950-258,253.08
1950-259,265.28
1950-260,277.47
1950-261,289.66
1950-262,301.85
1950-263,314.04
1950-264,326.23
1950-265,338.42
1950-266,350.61
1950-267,2.8
1950-268,14.99
1950-269,27.19
1950-270,39.38
1950-271,51.57
1950-272,63.76
1950-273,75.95
1950-274,88.14
1950-275,100.33
1950-276,112.52
1950-277,124.71
1950-278,136.9
1950-279,149.1
1950-280,161.29
1950-281,173.48
1950-282,185.67
1950-283,197.86
1950-284,210.05
1950-285,222.24
1950-286,234.43
1950-287,246.62
1950-288,258.81
1950-289,271.01
1950-290,283.2
1950-291,295.39
1950-292,307.58
1950-293,319.77
1950-294,331.96
1950-295,344.15
1950-296,356.34
1950-297,8.53
1950-298,20.72
1950-299,32.92
1950-300,45.11
1950-301,57.3
1950-302,69.49
1950-303,81.68
1950-304,93.87
1950-305,106.06
1950-306,118.25
1950-307,130.44
1950-308,142.63
1950-309,154.83
1950-310,167.02
1950-311,179.21
1950-312,191.4
1950-313,203.59
1950-314,215.78
1950-315,227.97
1950-316,240.16
1950-317,252.35
1950-318,264.54
1950-319,276.74
1950-320,288.93
1950-321,301.12
1950-322,313.31
1950-323,325.5
1950-324,337.69
1950-325,349.88
1950-326,2.07
1950-327,14.26
1950-328,26.45
1950-329,38.65
1950-330,50.84
1950-331,63.03
1950-332,75.22
1950-333,87.41
1950-334,99.6
1950-335,111.79
1950-336,123.98
1950-337,136.17
1950-338,148.36
1950-339,160.56
1950-340,172.75
1950-341,184.94
1950-342,197.13
1950-343,209.32
1950-344,221.51
1950-345,233.7
1950-346,245.89
1950-347,258.08
1950-348,270.27
1950-349,282.47
1950-350,294.66
1950-351,306.85
1950-352,319.04
1950-353,331.23
1950-354,343.42
1950-355,355.61
1950-356,7.8
1950-357,19.99
1950-358,32.18
1950-359,44.38
1950-360,56.57
1950-361,68.76
1950-362,80.95
1950-363,93.14
1950-364,105.33
1950-365,117.52
1951-001,0.0
1951-002,12.19
1951-003,24.38
1951-004,36.57
1951-005,48.76
1951-006,60.95
1951-007,73.15
1951-008,85.34
1951-009,97.53
1951-010,109.72
1951-011,121.91
1951-012,134.1
1951-013,146.29
1951-014,158.48
1951-015,170.67
1951-016,182.86
1951-017,195.06
1951-018,207.25
1951-019,219.44
1951-020,231.63
1951-021,243.82
1951-022,256.01
1951-023,268.2
1951-024,280.39
1951-025,292.58
1951-026,304.77
1951-027,316.97
1951-028,329.16
1951-029,341.35
1951-030,353.54
1951-031,5.73
1951-032,17.92
1951-033,30.11
1951-034,42.3
1951-035,54.49
1951-036,66.68
1951-037,78.88
1951-038,91.07
1951-039,103.26
1951-040,115.45
1951-041,127.64
1951-042,139.83
1951-043,152.02
1951-044,164.21
1951-045,176.4
1951-046,188.59
1951-047,200.79
1951-048,212.98
1951-049,225.17
1951-050,237.36
1951-051,249.55
1951-052,261.74
1951-053,273.93
1951-054,286.12
1951-055,298.31
1951-056,310.5
1951-057,322.7
1951-058,334.89
1951-059,347.08
1951-060,359.27
1951-061,11.46
1951-062,23.65
1951-063,35.84
1951-064,48.03
1951-065,60.22
1951-066,72.41
1951-067,84.61
1951-068,96.8
1951-069,108.99
1951-070,121.18
1951-071,133.37
1951-072,145.56
1951-073,157.75
1951-074,169.94
1951-075,182.13
1951-076,194.32
1951-077,206.52
1951-078,218.71
1951-079,230.9
1951-080,243.09
1951-081,255.28
1951-082,267.47
1951-083,279.66
1951-084,291.85
1951-085,304.04
1951-086,316.23
1951-087,328.43
1951-088,340.62
1951-089,352.81
1951-090,5.0
1951-091,17.19
1951-092,29.38
1951-093,41.57
1951-094,53.76
1951-095,65.95
1951-096,78.14
1951-097,90.34
1951-098,102.53
1951-099,114.72
1951-100,126.91
1951-101,139.1
1951-102,151.29
1951-103,163.48
1951-104,175.67
1951-105,187.86
1951-106,200.05
1951-107,212.25
1951-108,224.44
1951-109,236.63
1951-110,248.82
1951-111,261.01
1951-112,273.2
1951-113,285.39
1951-114,297.58
1951-115,309.77
1951-116,321.96
1951-117,334.16
1951-118,346.35
1951-119,358.54
1951-120,10.73
1951-121,22.92
1951-122,35.11
1951-123,47.3
1951-124,59.49
1951-125,71.68
1951-126,83.87
1951-127,96.07
1951-128,108.26
1951-129,120.45
1951-130,132.64
1951-131,144.83
1951-132,157.02
1951-133,169.21
1951-134,181.4
1951-135,193.59
1951-136,205.78
1951-137,217.97
1951-138,230.17
1951-139,242.36
1951-140,254.55
1951-141,266.74
1951-142,278.93
1951-143,291.12
1951-144,303.31
1951-145,315.5
1951-146,327.69
1951-147,339.88
1951-148,352.08
1951-149,4.27
1951-150,16.46
1951-151,28.65
1951-152,40.84
1951-153,53.03
1951-154,65.22
1951-155,77.41
1951-156,89.6
1951-157,101.79
1951-158,113.99
1951-159,126.18
1951-160,138.37
1951-161,150.56
1951-162,162.75
1951-163,174.94
1951-164,187.13
1951-165,199.32
1951-166,211.51
1951-167,223.7
1951-168,235.9
1951-169,248.09
1951-170,260.28
1951-171,272.47
1951-172,284.66
1951-173,296.85
1951-174,309.04
1951-175,321.23
1951-176,333.42
1951-177,345.61
1951-178,357.81
1951-179,10.0
1951-180,22.19
1951-181,34.38
1951-182,46.57
1951-183,58.76
1951-184,70.95
1951-185,83.14
1951-186,95.33
1951-187,107.52
1951-188,119.72
1951-189,131.91
1951-190,144.1
1951-191,156.29
1951-192,168.48
1951-193,180.67
1951-194,192.86
1951-195,205.05
1951-196,217.24
1951-197,229.43
1951-198,241.63
1951-199,253.82
1951-200,266.01
1951-201,278.2
1951-202,290.39
1951-203,302.58
1951-204,314.77
1951-205,326.96
1951-206,339.15
1951-207,351.34
1951-208,3.54
1951-209,15.73
1951-210,27.92
1951-211,40.11
1951-212,52.3
1951-213,64.49
1951-214,76.68
1951-215,88.87
1951-216,101.06
1951-217,113.25
1951-218,125.45
1951-219,137.64
1951-220,149.83
1951-221,162.02
1951-222,174.21
1951-223,186.4
1951-224,198.59
1951-225,210.78
1951-226,222.97
1951-227,235.16
1951-228,247.36
1951-229,259.55
1951-230,271.74
1951-231,283.93
1951-232,296.12
1951-233,308.31
1951-234,320.5
1951-235,332.69
1951-236,344.88
1951-237,357.07
1951-238,9.27
1951-239,21.46
1951-240,33.65
1951-241,45.84
1951-242,58.03
1951-243,70.22
1951-244,82.41
1951-245,94.6
1951-246,106.79
1951-247,118.98
1951-248,131.18
1951-249,143.37
1951-250,155.56
1951-251,167.75
1951-252,179.94
1951-253,192.13
1951-254,204.32
1951-255,216.51
1951-256,228.7
1951-257,240.89
1951-258,253.08
1951-259,265.28
1951-260,277.47
1951-261,289.66
1951-262,301.85
1951-263,314.04
1951-264,326.23
1951-265,338.42
1951-266,350.61
1951-267,2.8
1951-268,14.99
1951-269,27.19
1951-270,39.38
1951-271,51.57
1951-272,63.76
1951-273,75.95
1951-274,88.14
1951-275,100.33
1951-276,112.52
1951-277,124.71
1951-278,136.9
1951-279,149.1
1951-280,161.29
1951-281,173.48
1951-282,185.67
1951-283,197.86
1951-284,210.05
1951-285,222.24
1951-286,234.43
1951-287,246.62
1951-288,258.81
1951-289,271.01
1951-290,283.2
1951-291,295.39
1951-292,307.58
1951-293,319.77
1951-294,331.96
1951-295,344.15
1951-296,356.34
1951-297,8.53
1951-298,20.72
1951-299,32.92
1951-300,45.11
1951-301,57.3
1951-302,69.49
1951-303,81.68
1951-304,93.87
1951-305,106.06
1951-306,118.25
1951-307,130.44
1951-308,142.63
1951-309,154.83
1951-310,167.02
1951-311,179.21
1951-312,191.4
1951-313,203.59
1951-314,215.78
1951-315,227.97
1951-316,240.16
1951-317,252.35
1951-318,264.54
1951-319,276.74
1951-320,288.93
1951-321,301.12
1951-322,313.31
1951-323,325.5
1951-324,337.69
1951-325,349.88
1951-326,2.07
1951-327,14.26
1951-328,26.45
1951-329,38.65
1951-330,50.84
1951-331,63.03
1951-332,75.22
1951-333,87.41
1951-334,99.6
1951-335,111.79
1951-336,123.98
1951-337,136.17
1951-338,148.36
1951-339,160.56
1951-340,172.75
1951-341,184.94
1951-342,197.13
1951-343,209.32
1951-344,221.51
1951-345,233.7
1951-346,245.89
1951-347,258.08
1951-348,270.27
1951-349,282.47
1951-350,294.66
1951-351,306.85
1951-352,319.04
1951-353,331.23
1951-354,343.42
1951-355,355.61
1951-356,7.8
1951-357,19.99
1951-358,32.18
1951-359,44.38
1951-360,56.57
1951-361,68.76
1951-362,80.95
1951-363,93.14
1951-364,105.33
1951-365,117.52
1952-001,0.0
1952-002,12.19
1952-003,24.38
1952-004,36.57
1952-005,48.76
1952-006,60.95
1952-007,73.15
1952-008,85.34
1952-009,97.53
1952-010,109.72
1952-011,121.91
1952-012,134.1
1952-013,146.29
1952-014,158.48
1952-015,170.67
1952-016,182.86
1952-017,195.06
1952-018,207.25
1952-019,219.44
1952-020,231.63
1952-021,243.82
1952-022,256.01
1952-023,268.2
1952-024,280.39
1952-025,292.58
1952-026,304.77
1952-027,316.97
1952-028,329.16
1952-029,341.35
1952-030,353.54
1952-031,5.73
1952-032,17.92
1952-033,30.11
1952-034,42.3
1952-035,54.49
1952-036,66.68
1952-037,78.88
1952-038,91.07
1952-039,103.26
1952-040,115.45
1952-041,127.64
1952-042,139.83
1952-043,152.02
1952-044,164.21
1952-045,176.4
1952-046,188.59
1952-047,200.79
1952-048,212.98
1952-049,225.17
1952-050,237.36
1952-051,249.55
1952-052,261.74
1952-053,273.93
1952-054,286.12
1952-055,298.31
1952-056,310.5
1952-057,322.7
1952-058,334.89
1952-059,347.08
1952-060,359.27
1952-061,11.46
1952-062,23.65
1952-063,35.84
1952-064,48.03
1952-065,60.22
1952-066,72.41
1952-067,84.61
1952-068,96.8
1952-069,108.99
1952-070,121.18
1952-071,133.37
1952-072,145.56
1952-073,157.75
1952-074,169.94
1952-075,182.13
1952-076,194.32
1952-077,206.52
1952-078,218.71
1952-079,230.9
1952-080,243.09
1952-081,255.28
1952-082,267.47
1952-083,279.66
1952-084,291.85
1952-085,304.04
1952-086,316.23
1952-087,328.43
1952-088,340.62
1952-089,352.81
1952-090,5.0
1952-091,17.19
1952-092,29.38
1952-093,41.57
1952-094,53.76
1952-095,65.95
1952-096,78.14
1952-097,90.34
1952-098,102.53
1952-099,114.72
1952-100,126.91
1952-101,139.1
1952-102,151.29
1952-103,163.48
1952-104,175.67
1952-105,187.86
1952-106,200.05
1952-107,212.25
1952-108,224.44
1952-109,236.63
1952-110,248.82
1952-111,261.01
1952-112,273.2
1952-113,285.39
1952-114,297.58
1952-115,309.77
1952-116,321.96
1952-117,334.16
1952-118,346.35
1952-119,358.54
1952-120,10.73
1952-121,22.92
1952-122,35.11
1952-123,47.3
1952-124,59.49
1952-125,71.68
1952-126,83.87
1952-127,96.07
1952-128,108.26
1952-129,120.45
1952-130,132.64
1952-131,144.83
1952-132,157.02
1952-133,169.21
1952-134,181.4
1952-135,193.59
1952-136,205.78
1952-137,217.97
1952-138,230.17
1952-139,242.36
1952-140,254.55
1952-141,266.74
1952-142,278.93
1952-143,291.12
1952-144,303.31
1952-145,315.5
1952-146,327.69
1952-147,339.88
1952-148,352.08
1952-149,4.27
1952-150,16.46
1952-151,28.65
1952-152,40.84
1952-153,53.03
1952-154,65.22
1952-155,77.41
1952-156,89.6
1952-157,101.79
1952-158,113.99
1952-159,126.18
1952-160,138.37
1952-161,150.56
1952-162,162.75
1952-163,174.94
1952-164,187.13
1952-165,199.32
1952-166,211.51
1952-167,223.7
1952-168,235.9
1952-169,248.09
1952-170,260.28
1952-171,272.47
1952-172,284.66
1952-173,296.85
1952-174,309.04
1952-175,321.23
1952-176,333.42
1952-177,345.61
1952-178,357.81
1952-179,10.0
1952-180,22.19
1952-181,34.38
1952-182,46.57
1952-183,58.76
1952-184,70.95
1952-185,83.14
1952-186,95.33
1952-187,107.52
1952-188,119.72
1952-189,131.91
1952-190,144.1
1952-191,156.29
1952-192,168.48
1952-193,180.67
1952-194,192.86
1952-195,205.05
1952-196,217.24
1952-197,229.43
1952-198,241.63
1952-199,253.82
1952-200,266.01
1952-201,278.2
1952-202,290.39
1952-203,302.58
1952-204,314.77
1952-205,326.96
1952-206,339.15
1952-207,351.34
1952-208,3.54
1952-209,15.73
1952-210,27.92
1952-211,40.11
1952-212,52.3
1952-213,64.49
1952-214,76.68
1952-215,88.87
1952-216,101.06
1952-217,113.25
1952-218,125.45
1952-219,137.64
1952-220,149.83
1952-221,162.02
1952-222,174.21
1952-223,186.4
1952-224,198.59
1952-225,210.78
1952-226,222.97
1952-227,235.16
1952-228,247.36
1952-229,259.55
1952-230,271.74
1952-231,283.93
1952-232,296.12
1952-233,308.31
1952-234,320.5
1952-235,332.69
1952-236,344.88
1952-237,357.07
1952-238,9.27
1952-239,21.46
1952-240,33.65
1952-241,45.84
1952-242,58.03
1952-243,70.22
1952-244,82.41
1952-245,94.6
1952-246,106.79
1952-247,118.98
1952-248,131.18
1952-249,143.37
1952-250,155.56
1952-251,167.75
1952-252,179.94
1952-253,192.13
1952-254,204.32
1952-255,216.51
1952-256,228.7
1952-257,240.89
1952-258,253.08
1952-259,265.28
1952-260,277.47
1952-261,289.66
1952-262,301.85
1952-263,314.04
1952-264,326.23
1952-265,338.42
1952-266,350.61
1952-267,2.8
1952-268,14.99
1952-269,27.19
1952-270,39.38
1952-271,51.57
1952-272,63.76
1952-273,75.95
1952-274,88.14
1952-275,100.33
1952-276,112.52
1952-277,124.71
1952-278,136.9
1952-279,149.1
1952-280,161.29
1952-281,173.48
1952-282,185.67
1952-283,197.86
1952-284,210.05
1952-285,222.24
1952-286,234.43
1952-287,246.62
1952-288,258.81
1952-289,271.01
1952-290,283.2
1952-291,295.39
1952-292,307.58
1952-293,319.77
1952-294,331.96
1952-295,344.15
1952-296,356.34
1952-297,8.53
1952-298,20.72
1952-299,32.92
1952-300,45.11
1952-301,57.3
1952-302,69.49
1952-303,81.68
1952-304,93.87
1952-305,106.06
1952-306,118.25
1952-307,130.44
1952-308,142.63
1952-309,154.83
1952-310,167.02
1952-311,179.21
1952-312,191.4
1952-313,203.59
1952-314,215.78
1952-315,227.97
1952-316,240.16
1952-317,252.35
1952-318,264.54
1952-319,276.74
1952-320,288.93
1952-321,301.12
1952-322,313.31
1952-323,325.5
1952-324,337.69
1952-325,349.88
1952-326,2.07
1952-327,14.26
1952-328,26.45
1952-329,38.65
1952-330,50.84
1952-331,63.03
1952-332,75.22
1952-333,87.41
1952-334,99.6
1952-335,111.79
1952-336,123.98
1952-337,136.17
1952-338,148.36
1952-339,160.56
1952-340,172.75
1952-341,184.94
1952-342,197.13
1952-343,209.32
1952-344,221.51
1952-345,233.7
1952-346,245.89
1952-347,258.08
1952-348,270.27
1952-349,282.47
1952-350,294.66
1952-351,306.85
1952-352,319.04
1952-353,331.23
1952-354,343.42
1952-355,355.61
1952-356,7.8
1952-357,19.99
1952-358,32.18
1952-359,44.38
1952-360,56.57
1952-361,68.76
1952-362,80.95
1952-363,93.14
1952-364,105.33
1952-365,117.52
1953-001,0.0
1953-002,12.19
1953-003,24.38
1953-004,36.57
1953-005,48.76
1953-006,60.95
1953-007,73.15
1953-008,85.34
1953-009,97.53
1953-010,109.72
1953-011,121.91
1953-012,134.1
1953-013,146.29
1953-014,158.48
1953-015,170.67
1953-016,182.86
1953-017,195.06
1953-018,207.25
1953-019,219.44
1953-020,231.63
1953-021,243.82
1953-022,256.01
1953-023,268.2
1953-024,280.39
1953-025,292.58
1953-026,304.77
1953-027,316.97
1953-028,329.16
1953-029,341.35
1953-030,353.54
1953-031,5.73
1953-032,17.92
1953-033,30.11
1953-034,42.3
1953-035,54.49
1953-036,66.68
1953-037,78.88
1953-038,91.07
1953-039,103.26
1953-040,115.45
1953-041,127.64
1953-042,139.83
1953-043,152.02
1953-044,164.21
1953-045,176.4
1953-046,188.59
1953-047,200.79
1953-048,212.98
1953-049,225.17
1953-050,237.36
1953-051,249.55
1953-052,261.74
1953-053,273.93
1953-054,286.12
1953-055,298.31
1953-056,310.5
1953-057,322.7
1953-058,334.89
1953-059,347.08
1953-060,359.27
1953-061,11.46
1953-062,23.65
1953-063,35.84
1953-064,48.03
1953-065,60.22
1953-066,72.41
1953-067,84.61
1953-068,96.8
1953-069,108.99
1953-070,121.18
1953-071,133.37
1953-072,145.56
1953-073,157.75
1953-074,169.94
1953-075,182.13
1953-076,194.32
1953-077,206.52
1953-078,218.71
1953-079,230.9
1953-080,243.09
1953-081,255.28
1953-082,267.47
1953-083,279.66
1953-084,291.85
1953-085,304.04
1953-086,316.23
1953-087,328.43
1953-088,340.62
1953-089,352.81
1953-090,5.0
1953-091,17.19
1953-092,29.38
1953-093,41.57
1953-094,53.76
1953-095,65.95
1953-096,78.14
1953-097,90.34
1953-098,102.53
1953-099,114.72
1953-100,126.91
1953-101,139.1
1953-102,151.29
1953-103,163.48
1953-104,175.67
1953-105,187.86
1953-106,200.05
1953-107,212.25
1953-108,224.44
1953-109,236.63
1953-110,248.82
1953-111,261.01
1953-112,273.2
1953-113,285.39
1953-114,297.58
1953-115,309.77
1953-116,321.96
1953-117,334.16
1953-118,346.35
1953-119,358.54
1953-120,10.73
1953-121,22.92
1953-122,35.11
1953-123,47.3
1953-124,59.49
1953-125,71.68
1953-126,83.87
1953-127,96.07
1953-128,108.26
1953-129,120.45
1953-130,132.64
1953-131,144.83
1953-132,157.02
1953-133,169.21
1953-134,181.4
1953-135,193.59
1953-136,205.78
1953-137,217.97
1953-138,230.17
1953-139,242.36
1953-140,254.55
1953-141,266.74
1953-142,278.93
1953-143,291.12
1953-144,303.31
1953-145,315.5
1953-146,327.69
1953-147,339.88
1953-148,352.08
1953-149,4.27
1953-150,16.46
1953-151,28.65
1953-152,40.84
1953-153,53.03
1953-154,65.22
1953-155,77.41
1953-156,89.6
1953-157,101.79
1953-158,113.99
1953-159,126.18
1953-160,138.37
1953-161,150.56
1953-162,162.75
1953-163,174.94
1953-164,187.13
1953-165,199.32
1953-166,211.51
1953-167,223.7
1953-168,235.9
1953-169,248.09
1953-170,260.28
1953-171,272.47
1953-172,284.66
1953-173,296.85
1953-174,309.04
1953-175,321.23
1953-176,333.42
1953-177,345.61
1953-178,357.81
1953-179,10.0
1953-180,22.19
1953-181,34.38
1953-182,46.57
1953-183,58.76
1953-184,70.95
1953-185,83.14
1953-186,95.33
1953-187,107.52
1953-188,119.72
1953-189,131.91
1953-190,144.1
1953-191,156.29
1953-192,168.48
1953-193,180.67
1953-194,192.86
1953-195,205.05
1953-196,217.24
1953-197,229.43
1953-198,241.63
1953-199,253.82
1953-200,266.01
1953-201,278.2
1953-202,290.39
1953-203,302.58
1953-204,314.77
1953-205,326.96
1953-206,339.15
1953-207,351.34
1953-208,3.54
1953-209,15.73
1953-210,27.92
1953-211,40.11
1953-212,52.3
1953-213,64.49
1953-214,76.68
1953-215,88.87
1953-216,101.06
1953-217,113.25
1953-218,125.45
1953-219,137.64
1953-220,149.83
1953-221,162.02
1953-222,174.21
1953-223,186.4
1953-224,198.59
1953-225,210.78
1953-226,222.97
1953-227,235.16
1953-228,247.36
1953-229,259.55
1953-230,271.74
1953-231,283.93
1953-232,296.12
1953-233,308.31
1953-234,320.5
1953-235,332.69
1953-236,344.88
1953-237,357.07
1953-238,9.27
1953-239,21.46
1953-240,33.65
1953-241,45.84
1953-242,58.03
1953-243,70.22
1953-244,82.41
1953-245,94.6
1953-246,106.79
1953-247,118.98
1953-248,131.18
1953-249,143.37
1953-250,155.56
1953-251,167.75
1953-252,179.94
1953-253,192.13
1953-254,204.32
1953-255,216.51
1953-256,228.7
1953-257,240.89
1953-258,253.08
1953-259,265.28
1953-260,277.47
1953-261,289.66
1953-262,301.85
1953-263,314.04
1953-264,326.23
1953-265,338.42
1953-266,350.61
1953-267,2.8
1953-268,14.99
1953-269,27.19
1953-270,39.38
1953-271,51.57
1953-272,63.76
1953-273,75.95
1953-274,88.14
1953-275,100.33
1953-276,112.52
1953-277,124.71
1953-278,136.9
1953-279,149.1
1953-280,161.29
1953-281,173.48
1953-282,185.67
1953-283,197.86
1953-284,210.05
1953-285,222.24
1953-286,234.43
1953-287,246.62
1953-288,258.81
1953-289,271.01
1953-290,283.2
1953-291,295.39
1953-292,307.58
1953-293,319.77
1953-294,331.96
1953-295,344.15
1953-296,356.34
1953-297,8.53
1953-298,20.72
1953-299,32.92
1953-300,45.11
1953-301,57.3
1953-302,69.49
1953-303,81.68
1953-304,93.87
1953-305,106.06
1953-306,118.25
1953-307,130.44
1953-308,142.63
1953-309,154.83
1953-310,167.02
1953-311,179.21
1953-312,191.4
1953-313,203.59
1953-314,215.78
1953-315,227.97
1953-316,240.16
1953-317,252.35
1953-318,264.54
1953-319,276.74
1953-320,288.93
1953-321,301.12
1953-322,313.31
1953-323,325.5
1953-324,337.69
1953-325,349.88
1953-326,2.07
1953-327,14.26
1953-328,26.45
1953-329,38.65
1953-330,50.84
1953-331,63.03
1953-332,75.22
1953-333,87.41
1953-334,99.6
1953-335,111.79
1953-336,123.98
1953-337,136.17
1953-338,148.36
1953-339,160.56
1953-340,172.75
1953-341,184.94
1953-342,197.13
1953-343,209.32
1953-344,221.51
1953-345,233.7
1953-346,245.89
1953-347,258.08
1953-348,270.27
1953-349,282.47
1953-350,294.66
1953-351,306.85
1953-352,319.04
1953-353,331.23
1953-354,343.42
1953-355,355.61
1953-356,7.8
1953-357,19.99
1953-358,32.18
1953-359,44.38
1953-360,56.57
1953-361,68.76
1953-362,80.95
1953-363,93.14
1953-364,105.33
1953-365,117.52
1954-001,0.0
1954-002,12.19
1954-003,24.38
1954-004,36.57
1954-005,48.76
1954-006,60.95
1954-007,73.15
1954-008,85.34
1954-009,97.53
1954-010,109.72
1954-011,121.91
1954-012,134.1
1954-013,146.29
1954-014,158.48
1954-015,170.67
1954-016,182.86
1954-017,195.06
1954-018,207.25
1954-019,219.44
1954-020,231.63
1954-021,243.82
1954-022,256.01
1954-023,268.2
1954-024,280.39
1954-025,292.58
1954-026,304.77
1954-027,316.97
1954-028,329.16
1954-029,341.35
1954-030,353.54
1954-031,5.73
1954-032,17.92
1954-033,30.11
1954-034,42.3
1954-035,54.49
1954-036,66.68
1954-037,78.88
1954-038,91.07
1954-039,103.26
1954-040,115.45
1954-041,127.64
1954-042,139.83
1954-043,152.02
1954-044,164.21
1954-045,176.4
1954-046,188.59
1954-047,200.79
1954-048,212.98
1954-049,225.17
1954-050,237.36
1954-051,249.55
1954-052,261.74
1954-053,273.93
1954-054,286.12
1954-055,298.31
1954-056,310.5
1954-057,322.7
1954-058,334.89
1954-059,347.08
1954-060,359.27
1954-061,11.46
1954-062,23.65
1954-063,35.84
1954-064,48.03
1954-065,60.22
1954-066,72.41
1954-067,84.61
1954-068,96.8
1954-069,108.99
1954-070,121.18
1954-071,133.37
1954-072,145.56
1954-073,157.75
1954-074,169.94
1954-075,182.13
1954-076,194.32
1954-077,206.52
1954-078,218.71
1954-079,230.9
1954-080,243.09
1954-081,255.28
1954-082,267.47
1954-083,279.66
1954-084,291.85
1954-085,304.04
1954-086,316.23
1954-087,328.43
1954-088,340.62
1954-089,352.81
1954-090,5.0
1954-091,17.19
1954-092,29.38
