Date,Solar_Longitude
1950-164,160.77
1950-165,161.75
1950-166,162.74
1950-167,163.73
1950-168,164.71
1950-169,165.7
1950-170,166.68
1950-171,167.67
1950-172,168.66
1950-173,169.64
1950-174,170.63
1950-175,171.62
1950-176,172.6
1950-177,173.59
1950-178,174.58
1950-179,175.56
1950-180,176.55
1950-181,177.53
1950-182,178.52
1950-183,179.51
1950-184,180.49
1950-185,181.48
1950-186,182.47
1950-187,183.45
1950-188,184.44
1950-189,185.42
1950-190,186.41
1950-191,187.4
1950-192,188.38
1950-193,189.37
1950-194,190.36
1950-195,191.34
1950-196,192.33
1950-197,193.32
1950-198,194.3
1950-199,195.29
1950-200,196.27
1950-201,197.26
1950-202,198.25
1950-203,199.23
1950-204,200.22
1950-205,201.21
1950-206,202.19
1950-207,203.18
1950-208,204.16
1950-209,205.15
1950-210,206.14
1950-211,207.12
1950-212,208.11
1950-213,209.1
1950-214,210.08
1950-215,211.07
1950-216,212.05
1950-217,213.04
1950-218,214.03
1950-219,215.01
1950-220,216.0
1950-221,216.99
1950-222,217.97
1950-223,218.96
1950-224,219.95
1950-225,220.93
1950-226,221.92
1950-227,222.9
1950-228,223.89
1950-229,224.88
1950-230,225.86
1950-231,226.85
1950-232,227.84
1950-233,228.82
1950-234,229.81
1950-235,230.79
1950-236,231.78
1950-237,232.77
1950-238,233.75
1950-239,234.74
1950-240,235.73
1950-241,236.71
1950-242,237.7
1950-243,238.68
1950-244,239.67
1950-245,240.66
1950-246,241.64
1950-247,242.63
1950-248,243.62
1950-249,244.6
1950-250,245.59
1950-251,246.58
1950-252,247.56
1950-253,248.55
1950-254,249.53
1950-255,250.52
1950-256,251.51
1950-257,252.49
1950-258,253.48
1950-259,254.47
1950-260,255.45
1950-261,256.44
1950-262,257.42
1950-263,258.41
1950-264,259.4
1950-265,260.38
1950-266,261.37
1950-267,262.36
1950-268,263.34
1950-269,264.33
1950-270,265.32
1950-271,266.3
1950-272,267.29
1950-273,268.27
1950-274,269.26
1950-275,270.25
1950-276,271.23
1950-277,272.22
1950-278,273.21
1950-279,274.19
1950-280,275.18
1950-281,276.16
1950-282,277.15
1950-283,278.14
1950-284,279.12
1950-285,280.11
1950-286,281.1
1950-287,282.08
1950-288,283.07
1950-289,284.05
1950-290,285.04
1950-291,286.03
1950-292,287.01
1950-293,288.0
1950-294,288.99
1950-295,289.97
1950-296,290.96
1950-297,291.95
1950-298,292.93
1950-299,293.92
1950-300,294.9
1950-301,295.89
1950-302,296.88
1950-303,297.86
1950-304,298.85
1950-305,299.84
1950-306,300.82
1950-307,301.81
1950-308,302.79
1950-309,303.78
1950-310,304.77
1950-311,305.75
1950-312,306.74
1950-313,307.73
1950-314,308.71
1950-315,309.7
1950-316,310.68
1950-317,311.67
1950-318,312.66
1950-319,313.64
1950-320,314.63
1950-321,315.62
1950-322,316.6
1950-323,317.59
1950-324,318.58
1950-325,319.56
1950-326,320.55
1950-327,321.53
1950-328,322.52
1950-329,323.51
1950-330,324.49
1950-331,325.48
1950-332,326.47
1950-333,327.45
1950-334,328.44
1950-335,329.42
1950-336,330.41
1950-337,331.4
1950-338,332.38
1950-339,333.37
1950-340,334.36
1950-341,335.34
1950-342,336.33
1950-343,337.32
1950-344,338.3
1950-345,339.29
1950-346,340.27
1950-347,341.26
1950-348,342.25
1950-349,343.23
1950-350,344.22
1950-351,345.21
1950-352,346.19
1950-353,347.18
1950-354,348.16
1950-355,349.15
1950-356,350.14
1950-357,351.12
1950-358,352.11
1950-359,353.1
1950-360,354.08
1950-361,355.07
1950-362,356.05
1950-363,357.04
1950-364,358.03
1950-365,359.01
1951-001,0.0
1951-002,0.99
1951-003,1.97
1951-004,2.96
1951-005,3.95
1951-006,4.93
1951-007,5.92
1951-008,6.9
1951-009,7.89
1951-010,8.88
1951-011,9.86
1951-012,10.85
1951-013,11.84
1951-014,12.82
1951-015,13.81
1951-016,14.79
1951-017,15.78
1951-018,16.77
1951-019,17.75
1951-020,18.74
1951-021,19.73
1951-022,20.71
1951-023,21.7
1951-024,22.68
1951-025,23.67
1951-026,24.66
1951-027,25.64
1951-028,26.63
1951-029,27.62
1951-030,28.6
1951-031,29.59
1951-032,30.58
1951-033,31.56
1951-034,32.55
1951-035,33.53
1951-036,34.52
1951-037,35.51
1951-038,36.49
1951-039,37.48
1951-040,38.47
1951-041,39.45
1951-042,40.44
1951-043,41.42
1951-044,42.41
1951-045,43.4
1951-046,44.38
1951-047,45.37
1951-048,46.36
1951-049,47.34
1951-050,48.33
1951-051,49.32
1951-052,50.3
1951-053,51.29
1951-054,52.27
1951-055,53.26
1951-056,54.25
1951-057,55.23
1951-058,56.22
1951-059,57.21
1951-060,58.19
1951-061,59.18
1951-062,60.16
1951-063,61.15
1951-064,62.14
1951-065,63.12
1951-066,64.11
1951-067,65.1
1951-068,66.08
1951-069,67.07
1951-070,68.05
1951-071,69.04
1951-072,70.03
1951-073,71.01
1951-074,72.0
1951-075,72.99
1951-076,73.97
1951-077,74.96
1951-078,75.95
1951-079,76.93
1951-080,77.92
1951-081,78.9
1951-082,79.89
1951-083,80.88
1951-084,81.86
1951-085,82.85
1951-086,83.84
1951-087,84.82
1951-088,85.81
1951-089,86.79
1951-090,87.78
1951-091,88.77
1951-092,89.75
1951-093,90.74
1951-094,91.73
1951-095,92.71
1951-096,93.7
1951-097,94.68
1951-098,95.67
1951-099,96.66
1951-100,97.64
1951-101,98.63
1951-102,99.62
1951-103,100.6
1951-104,101.59
1951-105,102.58
1951-106,103.56
1951-107,104.55
1951-108,105.53
1951-109,106.52
1951-110,107.51
1951-111,108.49
1951-112,109.48
1951-113,110.47
1951-114,111.45
1951-115,112.44
1951-116,113.42
1951-117,114.41
1951-118,115.4
1951-119,116.38
1951-120,117.37
1951-121,118.36
1951-122,119.34
1951-123,120.33
1951-124,121.32
1951-125,122.3
1951-126,123.29
1951-127,124.27
1951-128,125.26
1951-129,126.25
1951-130,127.23
1951-131,128.22
1951-132,129.21
1951-133,130.19
1951-134,131.18
1951-135,132.16
1951-136,133.15
1951-137,134.14
1951-138,135.12
1951-139,136.11
1951-140,137.1
1951-141,138.08
1951-142,139.07
1951-143,140.05
1951-144,141.04
1951-145,142.03
1951-146,143.01
1951-147,144.0
1951-148,144.99
1951-149,145.97
1951-150,146.96
1951-151,147.95
1951-152,148.93
1951-153,149.92
1951-154,150.9
1951-155,151.89
1951-156,152.88
1951-157,153.86
1951-158,154.85
1951-159,155.84
1951-160,156.82
1951-161,157.81
1951-162,158.79
1951-163,159.78
1951-164,160.77
1951-165,161.75
1951-166,162.74
1951-167,163.73
1951-168,164.71
1951-169,165.7
1951-170,166.68
1951-171,167.67
1951-172,168.66
1951-173,169.64
1951-174,170.63
1951-175,171.62
1951-176,172.6
1951-177,173.59
1951-178,174.58
1951-179,175.56
1951-180,176.55
1951-181,177.53
1951-182,178.52
1951-183,179.51
1951-184,180.49
1951-185,181.48
1951-186,182.47
1951-187,183.45
1951-188,184.44
1951-189,185.42
1951-190,186.41
1951-191,187.4
1951-192,188.38
1951-193,189.37
1951-194,190.36
1951-195,191.34
1951-196,192.33
1951-197,193.32
1951-198,194.3
1951-199,195.29
1951-200,196.27
1951-201,197.26
1951-202,198.25
1951-203,199.23
1951-204,200.22
1951-205,201.21
1951-206,202.19
1951-207,203.18
1951-208,204.16
1951-209,205.15
1951-210,206.14
1951-211,207.12
1951-212,208.11
1951-213,209.1
1951-214,210.08
1951-215,211.07
1951-216,212.05
1951-217,213.04
1951-218,214.03
1951-219,215.01
1951-220,216.0
1951-221,216.99
1951-222,217.97
1951-223,218.96
1951-224,219.95
1951-225,220.93
1951-226,221.92
1951-227,222.9
1951-228,223.89
1951-229,224.88
1951-230,225.86
1951-231,226.85
1951-232,227.84
1951-233,228.82
1951-234,229.81
1951-235,230.79
1951-236,231.78
1951-237,232.77
1951-238,233.75
1951-239,234.74
1951-240,235.73
1951-241,236.71
1951-242,237.7
1951-243,238.68
1951-244,239.67
1951-245,240.66
1951-246,241.64
1951-247,242.63
1951-248,243.62
1951-249,244.6
1951-250,245.59
1951-251,246.58
1951-252,247.56
1951-253,248.55
1951-254,249.53
1951-255,250.52
1951-256,251.51
1951-257,252.49
1951-258,253.48
1951-259,254.47
1951-260,255.45
1951-261,256.44
1951-262,257.42
1951-263,258.41
1951-264,259.4
1951-265,260.38
1951-266,261.37
1951-267,262.36
1951-268,263.34
1951-269,264.33
1951-270,265.32
1951-271,266.3
1951-272,267.29
1951-273,268.27
1951-274,269.26
1951-275,270.25
1951-276,271.23
1951-277,272.22
1951-278,273.21
1951-279,274.19
1951-280,275.18
1951-281,276.16
1951-282,277.15
1951-283,278.14
1951-284,279.12
1951-285,280.11
1951-286,281.1
1951-287,282.08
1951-288,283.07
1951-289,284.05
1951-290,285.04
1951-291,286.03
1951-292,287.01
1951-293,288.0
1951-294,288.99
1951-295,289.97
1951-296,290.96
1951-297,291.95
1951-298,292.93
1951-299,293.92
1951-300,294.9
1951-301,295.89
1951-302,296.88
1951-303,297.86
1951-304,298.85
1951-305,299.84
1951-306,300.82
1951-307,301.81
1951-308,302.79
1951-309,303.78
1951-310,304.77
1951-311,305.75
1951-312,306.74
1951-313,307.73
1951-314,308.71
1951-315,309.7
1951-316,310.68
1951-317,311.67
1951-318,312.66
1951-319,313.64
1951-320,314.63
1951-321,315.62
1951-322,316.6
1951-323,317.59
1951-324,318.58
1951-325,319.56
1951-326,320.55
1951-327,321.53
1951-328,322.52
1951-329,323.51
1951-330,324.49
1951-331,325.48
1951-332,326.47
1951-333,327.45
1951-334,328.44
1951-335,329.42
1951-336,330.41
1951-337,331.4
1951-338,332.38
1951-339,333.37
1951-340,334.36
1951-341,335.34
1951-342,336.33
1951-343,337.32
1951-344,338.3
1951-345,339.29
1951-346,340.27
1951-347,341.26
1951-348,342.25
1951-349,343.23
1951-350,344.22
1951-351,345.21
1951-352,346.19
1951-353,347.18
1951-354,348.16
1951-355,349.15
1951-356,350.14
1951-357,351.12
1951-358,352.11
1951-359,353.1
1951-360,354.08
1951-361,355.07
1951-362,356.05
1951-363,357.04
1951-364,358.03
1951-365,359.01
1952-001,0.0
1952-002,0.99
1952-003,1.97
1952-004,2.96
1952-005,3.95
1952-006,4.93
1952-007,5.92
1952-008,6.9
1952-009,7.89
1952-010,8.88
1952-011,9.86
1952-012,10.85
1952-013,11.84
1952-014,12.82
1952-015,13.81
1952-016,14.79
1952-017,15.78
1952-018,16.77
1952-019,17.75
1952-020,18.74
1952-021,19.73
1952-022,20.71
1952-023,21.7
1952-024,22.68
1952-025,23.67
1952-026,24.66
1952-027,25.64
1952-028,26.63
1952-029,27.62
1952-030,28.6
1952-031,29.59
1952-032,30.58
1952-033,31.56
1952-034,32.55
1952-035,33.53
1952-036,34.52
1952-037,35.51
1952-038,36.49
1952-039,37.48
1952-040,38.47
1952-041,39.45
1952-042,40.44
1952-043,41.42
1952-044,42.41
1952-045,43.4
1952-046,44.38
1952-047,45.37
1952-048,46.36
1952-049,47.34
1952-050,48.33
1952-051,49.32
1952-052,50.3
1952-053,51.29
1952-054,52.27
1952-055,53.26
1952-056,54.25
1952-057,55.23
1952-058,56.22
1952-059,57.21
1952-060,58.19
1952-061,59.18
1952-062,60.16
1952-063,61.15
1952-064,62.14
1952-065,63.12
1952-066,64.11
1952-067,65.1
1952-068,66.08
1952-069,67.07
1952-070,68.05
1952-071,69.04
1952-072,70.03
1952-073,71.01
1952-074,72.0
1952-075,72.99
1952-076,73.97
1952-077,74.96
1952-078,75.95
1952-079,76.93
1952-080,77.92
1952-081,78.9
1952-082,79.89
1952-083,80.88
1952-084,81.86
1952-085,82.85
1952-086,83.84
1952-087,84.82
1952-088,85.81
1952-089,86.79
1952-090,87.78
1952-091,88.77
1952-092,89.75
1952-093,90.74
1952-094,91.73
1952-095,92.71
1952-096,93.7
1952-097,94.68
1952-098,95.67
1952-099,96.66
1952-100,97.64
1952-101,98.63
1952-102,99.62
1952-103,100.6
1952-104,101.59
1952-105,102.58
1952-106,103.56
1952-107,104.55
1952-108,105.53
1952-109,106.52
1952-110,107.51
1952-111,108.49
1952-112,109.48
1952-113,110.47
1952-114,111.45
1952-115,112.44
1952-116,113.42
1952-117,114.41
1952-118,115.4
1952-119,116.38
1952-120,117.37
1952-121,118.36
1952-122,119.34
1952-123,120.33
1952-124,121.32
1952-125,122.3
1952-126,123.29
1952-127,124.27
1952-128,125.26
1952-129,126.25
1952-130,127.23
1952-131,128.22
1952-132,129.21
1952-133,130.19
1952-134,131.18
1952-135,132.16
1952-136,133.15
1952-137,134.14
1952-138,135.12
1952-139,136.11
1952-140,137.1
1952-141,138.08
1952-142,139.07
1952-143,140.05
1952-144,141.04
1952-145,142.03
1952-146,143.01
1952-147,144.0
1952-148,144.99
1952-149,145.97
1952-150,146.96
1952-151,147.95
1952-152,148.93
1952-153,149.92
1952-154,150.9
1952-155,151.89
1952-156,152.88
1952-157,153.86
1952-158,154.85
1952-159,155.84
1952-160,156.82
1952-161,157.81
1952-162,158.79
1952-163,159.78
1952-164,160.77
1952-165,161.75
1952-166,162.74
1952-167,163.73
1952-168,164.71
1952-169,165.7
1952-170,166.68
1952-171,167.67
1952-172,168.66
1952-173,169.64
1952-174,170.63
1952-175,171.62
1952-176,172.6
1952-177,173.59
1952-178,174.58
1952-179,175.56
1952-180,176.55
1952-181,177.53
1952-182,178.52
1952-183,179.51
1952-184,180.49
1952-185,181.48
1952-186,182.47
1952-187,183.45
1952-188,184.44
1952-189,185.42
1952-190,186.41
1952-191,187.4
1952-192,188.38
1952-193,189.37
1952-194,190.36
1952-195,191.34
1952-196,192.33
1952-197,193.32
1952-198,194.3
1952-199,195.29
1952-200,196.27
1952-201,197.26
1952-202,198.25
1952-203,199.23
1952-204,200.22
1952-205,201.21
1952-206,202.19
1952-207,203.18
1952-208,204.16
1952-209,205.15
1952-210,206.14
1952-211,207.12
1952-212,208.11
1952-213,209.1
1952-214,210.08
1952-215,211.07
1952-216,212.05
1952-217,213.04
1952-218,214.03
1952-219,215.01
1952-220,216.0
1952-221,216.99
1952-222,217.97
1952-223,218.96
1952-224,219.95
1952-225,220.93
1952-226,221.92
1952-227,222.9
1952-228,223.89
1952-229,224.88
1952-230,225.86
1952-231,226.85
1952-232,227.84
1952-233,228.82
1952-234,229.81
1952-235,230.79
1952-236,231.78
1952-237,232.77
1952-238,233.75
1952-239,234.74
1952-240,235.73
1952-241,236.71
1952-242,237.7
1952-243,238.68
1952-244,239.67
1952-245,240.66
1952-246,241.64
1952-247,242.63
1952-248,243.62
1952-249,244.6
1952-250,245.59
1952-251,246.58
1952-252,247.56
1952-253,248.55
1952-254,249.53
1952-255,250.52
1952-256,251.51
1952-257,252.49
1952-258,253.48
1952-259,254.47
1952-260,255.45
1952-261,256.44
1952-262,257.42
1952-263,258.41
1952-264,259.4
1952-265,260.38
1952-266,261.37
1952-267,262.36
1952-268,263.34
1952-269,264.33
1952-270,265.32
1952-271,266.3
1952-272,267.29
1952-273,268.27
1952-274,269.26
1952-275,270.25
1952-276,271.23
1952-277,272.22
1952-278,273.21
1952-279,274.19
1952-280,275.18
1952-281,276.16
1952-282,277.15
1952-283,278.14
1952-284,279.12
1952-285,280.11
1952-286,281.1
1952-287,282.08
1952-288,283.07
1952-289,284.05
1952-290,285.04
1952-291,286.03
1952-292,287.01
1952-293,288.0
1952-294,288.99
1952-295,289.97
1952-296,290.96
1952-297,291.95
1952-298,292.93
1952-299,293.92
1952-300,294.9
1952-301,295.89
1952-302,296.88
1952-303,297.86
1952-304,298.85
1952-305,299.84
1952-306,300.82
1952-307,301.81
1952-308,302.79
1952-309,303.78
1952-310,304.77
1952-311,305.75
1952-312,306.74
1952-313,307.73
1952-314,308.71
1952-315,309.7
1952-316,310.68
1952-317,311.67
1952-318,312.66
1952-319,313.64
1952-320,314.63
1952-321,315.62
1952-322,316.6
1952-323,317.59
1952-324,318.58
1952-325,319.56
1952-326,320.55
1952-327,321.53
1952-328,322.52
1952-329,323.51
1952-330,324.49
1952-331,325.48
1952-332,326.47
1952-333,327.45
1952-334,328.44
1952-335,329.42
1952-336,330.41
1952-337,331.4
1952-338,332.38
1952-339,333.37
1952-340,334.36
1952-341,335.34
1952-342,336.33
1952-343,337.32
1952-344,338.3
1952-345,339.29
1952-346,340.27
1952-347,341.26
1952-348,342.25
1952-349,343.23
1952-350,344.22
1952-351,345.21
1952-352,346.19
1952-353,347.18
1952-354,348.16
1952-355,349.15
1952-356,350.14
1952-357,351.12
1952-358,352.11
1952-359,353.1
1952-360,354.08
1952-361,355.07
1952-362,356.05
1952-363,357.04
1952-364,358.03
1952-365,359.01
1953-001,0.0
1953-002,0.99
1953-003,1.97
1953-004,2.96
1953-005,3.95
1953-006,4.93
1953-007,5.92
1953-008,6.9
1953-009,7.89
1953-010,8.88
1953-011,9.86
1953-012,10.85
1953-013,11.84
1953-014,12.82
1953-015,13.81
1953-016,14.79
1953-017,15.78
1953-018,16.77
1953-019,17.75
1953-020,18.74
1953-021,19.73
1953-022,20.71
1953-023,21.7
1953-024,22.68
1953-025,23.67
1953-026,24.66
1953-027,25.64
1953-028,26.63
1953-029,27.62
1953-030,28.6
1953-031,29.59
1953-032,30.58
1953-033,31.56
1953-034,32.55
1953-035,33.53
1953-036,34.52
1953-037,35.51
1953-038,36.49
1953-039,37.48
1953-040,38.47
1953-041,39.45
1953-042,40.44
1953-043,41.42
1953-044,42.41
1953-045,43.4
1953-046,44.38
1953-047,45.37
1953-048,46.36
1953-049,47.34
1953-050,48.33
1953-051,49.32
1953-052,50.3
1953-053,51.29
1953-054,52.27
1953-055,53.26
1953-056,54.25
1953-057,55.23
1953-058,56.22
1953-059,57.21
1953-060,58.19
1953-061,59.18
1953-062,60.16
1953-063,61.15
1953-064,62.14
1953-065,63.12
1953-066,64.11
1953-067,65.1
1953-068,66.08
1953-069,67.07
1953-070,68.05
1953-071,69.04
1953-072,70.03
1953-073,71.01
1953-074,72.0
1953-075,72.99
1953-076,73.97
1953-077,74.96
1953-078,75.95
1953-079,76.93
1953-080,77.92
1953-081,78.9
1953-082,79.89
1953-083,80.88
1953-084,81.86
1953-085,82.85
1953-086,83.84
1953-087,84.82
1953-088,85.81
1953-089,86.79
1953-090,87.78
1953-091,88.77
1953-092,89.75
1953-093,90.74
1953-094,91.73
1953-095,92.71
1953-096,93.7
1953-097,94.68
1953-098,95.67
1953-099,96.66
1953-100,97.64
1953-101,98.63
1953-102,99.62
1953-103,100.6
1953-104,101.59
1953-105,102.58
1953-106,103.56
1953-107,104.55
1953-108,105.53
1953-109,106.52
1953-110,107.51
1953-111,108.49
1953-112,109.48
1953-113,110.47
1953-114,111.45
1953-115,112.44
1953-116,113.42
1953-117,114.41
1953-118,115.4
1953-119,116.38
1953-120,117.37
1953-121,118.36
1953-122,119.34
1953-123,120.33
1953-124,121.32
1953-125,122.3
1953-126,123.29
1953-127,124.27
1953-128,125.26
1953-129,126.25
1953-130,127.23
1953-131,128.22
1953-132,129.21
1953-133,130.19
1953-134,131.18
1953-135,132.16
1953-136,133.15
1953-137,134.14
1953-138,135.12
1953-139,136.11
1953-140,137.1
1953-141,138.08
1953-142,139.07
1953-143,140.05
1953-144,141.04
1953-145,142.03
1953-146,143.01
1953-147,144.0
1953-148,144.99
1953-149,145.97
1953-150,146.96
1953-151,147.95
1953-152,148.93
1953-153,149.92
1953-154,150.9
1953-155,151.89
1953-156,152.88
1953-157,153.86
1953-158,154.85
1953-159,155.84
1953-160,156.82
1953-161,157.81
1953-162,158.79
1953-163,159.78
1953-164,160.77
1953-165,161.75
1953-166,162.74
1953-167,163.73
1953-168,164.71
1953-169,165.7
1953-170,166.68
1953-171,167.67
1953-172,168.66
1953-173,169.64
1953-174,170.63
1953-175,171.62
1953-176,172.6
1953-177,173.59
1953-178,174.58
1953-179,175.56
1953-180,176.55
1953-181,177.53
1953-182,178.52
1953-183,179.51
1953-184,180.49
1953-185,181.48
1953-186,182.47
1953-187,183.45
1953-188,184.44
1953-189,185.42
1953-190,186.41
1953-191,187.4
1953-192,188.38
1953-193,189.37
1953-194,190.36
1953-195,191.34
1953-196,192.33
1953-197,193.32
1953-198,194.3
1953-199,195.29
1953-200,196.27
1953-201,197.26
1953-202,198.25
1953-203,199.23
1953-204,200.22
1953-205,201.21
1953-206,202.19
1953-207,203.18
1953-208,204.16
1953-209,205.15
1953-210,206.14
1953-211,207.12
1953-212,208.11
1953-213,209.1
1953-214,210.08
1953-215,211.07
1953-216,212.05
1953-217,213.04
1953-218,214.03
1953-219,215.01
1953-220,216.0
1953-221,216.99
1953-222,217.97
1953-223,218.96
1953-224,219.95
1953-225,220.93
1953-226,221.92
1953-227,222.9
1953-228,223.89
1953-229,224.88
1953-230,225.86
1953-231,226.85
1953-232,227.84
1953-233,228.82
1953-234,229.81
1953-235,230.79
1953-236,231.78
1953-237,232.77
1953-238,233.75
1953-239,234.74
1953-240,235.73
1953-241,236.71
1953-242,237.7
1953-243,238.68
1953-244,239.67
1953-245,240.66
1953-246,241.64
1953-247,242.63
1953-248,243.62
1953-249,244.6
1953-250,245.59
1953-251,246.58
1953-252,247.56
1953-253,248.55
1953-254,249.53
1953-255,250.52
1953-256,251.51
1953-257,252.49
1953-258,253.48
1953-259,254.47
1953-260,255.45
1953-261,256.44
1953-262,257.42
1953-263,258.41
1953-264,259.4
1953-265,260.38
1953-266,261.37
1953-267,262.36
1953-268,263.34
1953-269,264.33
1953-270,265.32
1953-271,266.3
1953-272,267.29
1953-273,268.27
1953-274,269.26
1953-275,270.25
1953-276,271.23
1953-277,272.22
1953-278,273.21
1953-279,274.19
1953-280,275.18
1953-281,276.16
1953-282,277.15
1953-283,278.14
1953-284,279.12
1953-285,280.11
1953-286,281.1
1953-287,282.08
1953-288,283.07
1953-289,284.05
1953-290,285.04
1953-291,286.03
1953-292,287.01
1953-293,288.0
1953-294,288.99
1953-295,289.97
1953-296,290.96
1953-297,291.95
1953-298,292.93
1953-299,293.92
1953-300,294.9
1953-301,295.89
1953-302,296.88
1953-303,297.86
1953-304,298.85
1953-305,299.84
1953-306,300.82
1953-307,301.81
1953-308,302.79
1953-309,303.78
1953-310,304.77
1953-311,305.75
1953-312,306.74
1953-313,307.73
1953-314,308.71
1953-315,309.7
1953-316,310.68
1953-317,311.67
1953-318,312.66
1953-319,313.64
1953-320,314.63
1953-321,315.62
1953-322,316.6
1953-323,317.59
1953-324,318.58
1953-325,319.56
1953-326,320.55
1953-327,321.53
1953-328,322.52
1953-329,323.51
1953-330,324.49
1953-331,325.48
1953-332,326.47
1953-333,327.45
1953-334,328.44
1953-335,329.42
1953-336,330.41
1953-337,331.4
1953-338,332.38
1953-339,333.37
1953-340,334.36
1953-341,335.34
1953-342,336.33
1953-343,337.32
1953-344,338.3
1953-345,339.29
1953-346,340.27
1953-347,341.26
1953-348,342.25
1953-349,343.23
1953-350,344.22
1953-351,345.21
1953-352,346.19
1953-353,347.18
1953-354,348.16
1953-355,349.15
1953-356,350.14
1953-357,351.12
1953-358,352.11
1953-359,353.1
1953-360,354.08
1953-361,355.07
1953-362,356.05
1953-363,357.04
1953-364,358.03
1953-365,359.01
1954-001,0.0
1954-002,0.99
1954-003,1.97
1954-004,2.96
1954-005,3.95
1954-006,4.93
1954-007,5.92
1954-008,6.9
1954-009,7.89
1954-010,8.88
1954-011,9.86
1954-012,10.85
1954-013,11.84
1954-014,12.82
1954-015,13.81
1954-016,14.79
1954-017,15.78
1954-018,16.77
1954-019,17.75
1954-020,18.74
1954-021,19.73
1954-022,20.71
1954-023,21.7
1954-024,22.68
1954-025,23.67
1954-026,24.66
1954-027,25.64
1954-028,26.63
1954-029,27.62
1954-030,28.6
1954-031,29.59
1954-032,30.58
1954-033,31.56
1954-034,32.55
1954-035,33.53
1954-036,34.52
1954-037,35.51
1954-038,36.49
1954-039,37.48
1954-040,38.47
1954-041,39.45
1954-042,40.44
1954-043,41.42
1954-044,42.41
1954-045,43.4
1954-046,44.38
1954-047,45.37
1954-048,46.36
1954-049,47.34
1954-050,48.33
1954-051,49.32
1954-052,50.3
1954-053,51.29
1954-054,52.27
1954-055,53.26
1954-056,54.25
1954-057,55.23
1954-058,56.22
1954-059,57.21
1954-060,58.19
1954-061,59.18
1954-062,60.16
1954-063,61.15
1954-064,62.14
1954-065,63.12
1954-066,64.11
1954-067,65.1
1954-068,66.08
1954-069,67.07
1954-070,68.05
1954-071,69.04
1954-072,70.03
1954-073,71.01
1954-074,72.0
1954-075,72.99
1954-076,73.97
1954-077,74.96
1954-078,75.95
1954-079,76.93
1954-080,77.92
1954-081,78.9
1954-082,79.89
1954-083,80.88
1954-084,81.86
1954-085,82.85
1954-086,83.84
1954-087,84.82
1954-088,85.81
1954-089,86.79
1954-090,87.78
1954-091,88.77
1954-092,89.75
